LCG,MARKET INTELLIGENCE / RANKINGS,,,,,,,,,,,
Las 500 Empresas más importantes de México,,,,,,,,,,,,
Fuente: Expansión · 500empresas.expansion.mx · Edición 2025,,,,,,,,,,,,
,,,,,,,,,,,,
Rank,Empresa,Sector,País,Ventas (MDP),Utilidad Neta (MDP),Utilidad de Operación (MDP),Activo Total (MDP),Pasivo Total (MDP),Empleados,ROE (%),Datos gobernanza (sin separar — verificar en sitio),Ranking Ganado
54,Audi México,Armadora,Alemania,"105,981.00",n.d.,n.d.,n.d.,n.d.,"5,660",n.d.,30030016.6,-12
55,Iberdrola México,Electricidad y energía,España,"105,692.40",n.d.,n.d.,"77,200.20","40,372.20",835,n.d.,ndndndndndndnd,34
56,Grupo Aeroméxico,Aerolíneas,México,"103,012.80","11,318.80","19,552.60","117,011.40","128,804.90","16,219",(66.8),ndnd1412003,75
57,Grupo Lala,Alimentos y bebidas,México,"100,676.80","2,730.80","7,858.10","66,596.60","54,735.70","39,557",23.0,ndnd09111.121,-3
58,Grupo Bachoco,Agroindustria,México,"99,343.00","9,256.00","10,696.00","78,649.00","29,536.00","40,272",18.8,ndndnd17002,77
59,Magna International México,Automotriz y autopartes,Canadá,"98,358.80",n.d.,n.d.,"29,969.60",n.d.,n.d.,n.d.,ndndndndndndnd,1
60,Grupo Financiero Scotiabank Inverlat,Servicios financieros,Canadá,"95,607.00","12,156.00","15,884.00","941,997.00","846,225.00","9,620",12.7,173181044051,-2
61,Costco de México,Comercio autoservicio,Estados Unidos,"94,500.00",n.d.,n.d.,n.d.,n.d.,"12,000",n.d.,ndndndndndndnd,-5
62,Nestlé México,Alimentos y bebidas,Suiza,"93,100.00",n.d.,n.d.,n.d.,n.d.,"13,786",n.d.,21943536045.6,-5
63,Nemak,Automotriz y autopartes,México,"89,939.00",459.20,"2,662.90","96,066.70","65,715.20","13,661",1.5,ndndnd11327.323.2,-4
64,Mabe,Electrónica de consumo,México,"88,165.00","3,365.00","5,376.00","71,069.00","45,039.00","24,984",12.9,1321517423.549,-2
65,Grupo Empresarial Ángeles,Holding,México,"87,230.00",n.d.,n.d.,n.d.,n.d.,"40,000",n.d.,ndndndndndndnd,-2
66,Mercado Libre de México,Comercio electrónico (e-commerce),Argentina,"85,000.00",n.d.,n.d.,n.d.,n.d.,"25,552",n.d.,6009222.247.7,32
67,MetLife México,Seguros y fianzas,Estados Unidos,"84,281.00","9,828.00",430.70,"168,487.60","145,490.90","2,223",42.7,1055017529.454.6,-3
68,Robert Bosch México,Tecnología diversificada,Alemania,"82,621.60",n.d.,n.d.,n.d.,n.d.,"17,200",n.d.,ndndndndndndnd,1
69,FEMSA División Salud,Comercio de medicamentos,México,"79,755.00",n.d.,"3,483.00",n.d.,n.d.,"34,185",n.d.,ndndndndndndnd,-2
70,Alsea,Restaurantes,México,"78,986.00",763.00,"8,280.00","83,814.00","72,925.20","75,993",8.2,1011013323.147.3,-2
71,Tiendas Elektra,Comercio departamental,México,"78,749.00",n.d.,"9,029.00","120,442.00","93,054.00","62,647",n.d.,ndnd268005,80
72,AT&T México,Telecomunicaciones,Estados Unidos,"77,573.00",n.d.,"12,776.00",n.d.,n.d.,"13,375",n.d.,623363504,2
73,BBVA Seguros México,Seguros y fianzas,España,"77,118.40","11,177.00","(10,282.00)","259,943.00","245,414.00",n.d.,76.9,ndndndndndndnd,5
74,Grupo Sanborns,Comercio departamental,México,"73,353.00","3,925.30","4,844.30","65,343.30","25,854.30","41,367",9.9,ndndnd1418.3nd,-4
75,Continental México,Automotriz y autopartes,Alemania,"73,200.00",n.d.,n.d.,n.d.,n.d.,"20,500",n.d.,62336233.347,-9
76,Grupo Envases Universales,Vidrio y envases,México,"72,450.00",n.d.,n.d.,n.d.,n.d.,"9,000",n.d.,ndndndndndndnd,-1
77,Softtek,Computación y servicios,México,"72,345.00",n.d.,n.d.,n.d.,n.d.,"6,600",n.d.,ndndndndndndnd,2
78,H-E-B,Comercio autoservicio,Estados Unidos,"72,274.00","1,914.00","2,883.00","38,613.00","17,797.00","19,015",9.2,92229222.257.,42
79,Quálitas Controladora,Seguros y fianzas,México,"69,276.00","5,119.00","2,809.00","108,134.00","83,467.00","7,207",20.8,1353812216.742,16
