LCG,MARKET INTELLIGENCE / RANKINGS,,,,,,,,,,,
Las 500 Empresas más importantes de México,,,,,,,,,,,,
Fuente: Expansión · 500empresas.expansion.mx · Edición 2025,,,,,,,,,,,,
,,,,,,,,,,,,
Rank,Empresa,Sector,País,Ventas (MDP),Utilidad Neta (MDP),Utilidad de Operación (MDP),Activo Total (MDP),Pasivo Total (MDP),Empleados,ROE (%),Datos gobernanza (sin separar — verificar en sitio),Ranking Ganado
362,Arcos Dorados México,Restaurantes,Argentina,"8,200.60",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,11
363,Techint,Construcción,Italia/Argentina,"7,985.00",n.d.,n.d.,n.d.,n.d.,"3,808",n.d.,1119111928.2,-57
364,Reckitt,Productos de consumo,Reino Unido,"7,875.00",n.d.,n.d.,n.d.,n.d.,"15,000",n.d.,ndndndndndndnd,n.d.
365,RLH Properties,Hotelería y turismo,México,"7,752.00",568.00,770.00,"37,090.00","22,926.00","4,514",4.0,600120036.9,-3
366,Bansí,Servicios financieros,México,"7,707.00","1,363.00","1,830.00","61,459.00","54,403.00",,42519.3,22523130049.7,15
367,Finsa,Servicios inmobiliarios,México,"7,686.00",687.00,896.00,"8,640.00","4,514.00",,55716.5,73439111.12,90
368,Agroasemex,Seguros y fianzas,México,"7,668.90",536.50,"(1,176.90)","31,935.50","24,794.60",n.d.,7.5,nanananananand,-63
369,Pueblo Bonito Golf & Spa Resorts y Quivira Los Cabos,Hotelería y turismo,México,"7,604.00",913.00,"1,521.00","38,107.00","17,401.00","5,480",4.4,611750038.,89
370,Caffenio,Alimentos y bebidas,México,"7,601.00",98.00,680.00,"8,369.00","6,489.00","5,202",5.4,722911194,7
371,Seguros Afirme,Seguros y fianzas,México,"7,556.00",137.00,(536.00),"13,090.00","11,818.00",,96910.8,14429140048.6,-16
372,Monex Casa de Bolsa,Servicios financieros,México,"7,519.00",495.00,704.00,"88,617.00","87,620.00",,14449.6,8113845041,-6
373,Greenbrier México,Maquinaria y equipo,Estados Unidos,"7,500.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-4
374,Novo Nordisk México,Química farmacéutica,Dinamarca,"7,471.60",160.80,298.50,"6,607.60","5,417.10",,43913.5,103301033060,40
375,Daimler Truck Financial Services,Servicios financieros,Alemania,"7,455.10",663.60,888.70,"21,972.70","21,064.80",n.d.,73.1,ndndnd6350nd,n.d.
376,Grupo Alerta,Holding,México,"7,311.00",n.d.,n.d.,n.d.,n.d.,"3,817",n.d.,134317342.92,73
377,The Andersons México,Agroindustria,Estados Unidos,"7,188.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-46
378,Pan American Silver Corp.,Minería,Canadá,"7,150.50",n.d.,"(1,229.90)","12,174.80","4,074.80","2,720",n.d.,ndndndndndndnd,-3
379,Consorcio ARA,Inmobiliario,México,"7,118.50",687.30,742.70,"24,384.90","8,829.00","6,300",4.4,ndnd2917317.63,71
380,Vector Casa de Bolsa,Servicios financieros,México,"7,076.00",(123.00),(152.00),"43,716.00","41,921.00",853,(6.9),9111120045,-23
381,Promotora Ambiental,Servicios públicos,México,"7,066.70",260.30,660.10,"8,014.00","4,845.80","6,899",8.2,ndnd2014214.3nd,2
382,TP,Servicios profesionales,Francia,"7,023.00",n.d.,n.d.,n.d.,n.d.,"21,781",n.d.,92221475044.,26
383,Axalta Coating Systems México,Química y petroquímica,Estados Unidos,"7,000.60",n.d.,n.d.,"1,079.60",n.d.,"1,000",n.d.,ndndndndndndnd,10
384,Organon,Química farmacéutica,Estados Unidos,"7,000.00",n.d.,n.d.,n.d.,n.d.,650,n.d.,ndndndndndndnd,-2
385,Coeur Mining Mexicana,Minería,Estados Unidos,"6,948.20","1,332.50","2,291.70","4,896.70",n.d.,869,n.d.,ndndndndndndnd,26
386,Intercam Casa de Bolsa,Servicios financieros,México,"6,896.00",99.00,134.00,"58,851.00","58,083.00",,16712.9,ndndndndndndnd,16
387,Farmacéuticos Maypo,Química farmacéutica,México,"6,864.00",n.d.,n.d.,n.d.,n.d.,"1,234",n.d.,41257114.34,2
388,PwC México,Servicios profesionales,Reino Unido,"6,850.00",n.d.,n.d.,n.d.,n.d.,"4,092",n.d.,4125nanana44,13
389,Grupo Consupago,Servicios financieros,México,"6,815.00",540.00,"1,124.00","31,842.00","25,643.00","3,600",8.7,51208112.546,34
390,Liconsa,Comercio autoservicio,México,"6,811.60",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,7
391,AIG Seguros México,Seguros y fianzas,Estados Unidos,"6,779.40",741.40,298.30,"9,815.70","6,947.70",n.d.,25.9,ndndndndndndnd,-33
392,Fibra Danhos,Servicios inmobiliarios,México,"6,774.60","4,443.00","4,405.00","75,628.30","11,797.80",,3727.0,ndnd4211218.240.,96
393,Super del Norte,Comercio autoservicio,México,"6,770.40",n.d.,n.d.,n.d.,n.d.,"7,000",n.d.,ndndndndndndnd,-3
394,Provident México,Servicios financieros,Reino Unido,"6,719.00",597.00,n.d.,"6,336.00","3,315.00","2,507",19.8,72297228.647.6,-10
395,Profuturo,Afore,México,"6,608.40","1,958.60","2,185.30","9,781.00","1,380.50","3,629",23.3,ndndndndndndnd,20
396,Hershey's México,Dulces y confitería,Estados Unidos,"6,589.20",n.d.,n.d.,n.d.,n.d.,"3,000",n.d.,ndndndndndndnd,-22
397,Alamos Gold,Minería,Canadá,"6,543.80",n.d.,n.d.,n.d.,n.d.,519,n.d.,ndndndndndndnd,19
398,Banco Bancrea,Servicios financieros,México,"6,535.00",811.00,"1,006.00","49,688.00","45,326.00",,57718.6,ndndndndndndnd,19
399,,Afore,México,"6,527.10","2,653.40","3,068.10","27,179.80","2,016.50",n.d.,10.5,ndndndndndndnd,5
400,Grupo Imagen Medios de Comunicación,Medios de comunicación,México,"6,500.00",n.d.,n.d.,n.d.,n.d.,"2,000",n.d.,ndndndndndndnd,-40
401,Grupo Altex,Agroindustria,México,"6,500.00",n.d.,n.d.,n.d.,n.d.,"6,500",n.d.,ndndndndndndnd,-6
402,Pascual Boing,Alimentos y bebidas,México,"6,500.00",n.d.,n.d.,n.d.,n.d.,"5,000",n.d.,ndndndndndndnd,1
403,Seguros Sura,Seguros y fianzas,Colombia,"6,475.00",288.00,67.00,"9,762.00","8,191.00",,66618.3,74571033053,-16
404,Inversora Bursátil Casa de Bolsa,Servicios financieros,México,"6,431.00",355.00,395.00,"14,583.00","8,356.00",,1265.7,ndndndndndndnd,-33
405,Grupo Celanese,Química y petroquímica,Estados Unidos,"6,305.50",n.d.,n.d.,769.90,n.d.,n.d.,n.d.,ndndndndndndnd,-11
406,Element Fleet Management México,Logística y transporte,Canadá,"6,272.50",n.d.,n.d.,n.d.,n.d.,514,n.d.,ndndnd1060.639,36
407,Yara México,Agroindustria,Noruega,"6,085.60",953.20,293.30,n.d.,n.d.,433,n.d.,ndndndndndndnd,-43
408,Corporativo GBM,Servicios financieros,México,"5,996.00",58.00,(301.00),"45,889.00","39,327.00",,6930.9,64671011049.3,-23
409,Grupo Chufani,Construcción,México,"5,791.00",226.00,582.00,"6,243.00","4,609.00",,37713.4,30010032.1,49
410,JK Tornel,Automotriz y autopartes,India,"5,781.60",n.d.,n.d.,n.d.,n.d.,"1,700",n.d.,ndndndndndndnd,-4
411,Bausch Health México,Química farmacéutica,Canadá,"5,774.00",n.d.,n.d.,n.d.,n.d.,"1,256",n.d.,ndndndndndndnd,-4
412,Sistema de Transporte Colectivo,Logística y transporte,México,"5,745.60","(6,883.80)",n.d.,"376,104.80","3,291.50","15,000",n.d.,nanananananannd,0
413,Yakult México,Alimentos y bebidas,Japón,"5,731.30",n.d.,n.d.,n.d.,n.d.,"3,600",n.d.,ndndndndndndnd,5
414,Autlán,Minería,México,"5,725.60",(223.60),(96.30),"11,998.80","6,934.40","1,810",(4.1),122179009,-23
415,Financiera Independencia,Servicios financieros,México,"5,715.90",804.40,"1,102.80","11,669.80","5,412.00","4,362",12.9,91118225nd,-6
416,Takeda México,Química farmacéutica,Japón,"5,712.00",889.00,889.00,"4,959.00","1,312.00",,55424.4,16106320047.3,n.d.
417,Agnico Eagle México,Minería,Canadá,"5,703.60",n.d.,n.d.,"8,932.00",n.d.,"1,359",n.d.,ndndndndndndnd,-25
418,TI Fluid Systems México,Automotriz y autopartes,Reino Unido,"5,666.70",n.d.,n.d.,n.d.,n.d.,"2,000",n.d.,ndndndndndndnd,-19
419,,Afore,Colombia,"5,640.00","2,090.00","2,284.00","9,644.00","1,317.00","2,548",25.1,135398112.559.7,10
420,Autobuses IAMSA,Logística y transporte,México,"5,620.00",n.d.,n.d.,n.d.,n.d.,"24,000",n.d.,ndndndndndndnd,5
421,Conagra Brands México,Alimentos y bebidas,Estados Unidos,"5,603.00",n.d.,n.d.,n.d.,n.d.,727,n.d.,ndndndndndndnd,-13
422,KUA,Alimentos y bebidas,México,"5,600.00",n.d.,n.d.,n.d.,n.d.,"1,500",n.d.,6233150065,39
423,Grupo GICSA,Inmobiliario,México,"5,507.20",975.00,"5,347.40","77,255.80","43,014.30",,8002.8,ndndnd200nd,3
424,Grupo Pasa,Automotriz y autopartes,México,"5,473.90",n.d.,n.d.,n.d.,n.d.,916,n.d.,4125nanana0.3,-4
425,Goldman Sachs Casa de Bolsa,Servicios financieros,Estados Unidos,"5,455.00","1,766.00","2,425.00","88,349.00","74,066.00",,5512.4,ndndndndndndnd,25
426,Fibra Hotel,Hotelería y Turismo,México,"5,406.80",387.10,908.60,"17,577.60","4,990.00",n.d.,3.1,ndndndndndndnd,-5
427,Brown-Forman Tequila México,Bebidas alcohólicas y tabaco,Estados Unidos,"5,315.70",n.d.,n.d.,n.d.,n.d.,400,n.d.,ndndndndndndnd,18
428,Vinte Inmobiliaria,Inmobiliario,México,"5,288.50",405.50,603.60,"23,027.60","16,146.50","3,581",5.9,ndnd010110nd,2
429,BUPA México,Seguros y fianzas,Reino Unido,"5,286.00",192.00,48.00,"5,610.00","4,417.00",,86416.1,10550512057.,36
430,Vitro,Vidrio y envases,México,"5,208.50","(1,771.00)",234.70,"24,356.40","12,746.60","1,458",(15.3),ndndnd1200nd,-17
431,Montepío Luz Saviñón,Servicios financieros,México,"5,200.00",80.00,120.00,"3,400.00","1,400.00","1,100",2.4,72292063047,n.d.
432,Wheaton Precious Metals México,Minería,Canadá,"5,193.80",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,47
433,STM Financial,Servicios financieros,Estados Unidos,"5,146.00",848.00,"1,143.00","37,052.00","31,274.00",n.d.,14.7,ndndndndndndnd,n.d.
434,Ford Credit,Servicios financieros,Estados Unidos,"5,134.70",366.00,567.60,"42,482.30","38,543.90",,1739.3,ndndnd2540nd,n.d.
435,Grupo Martex,Textil y confección,México,"5,052.90",n.d.,n.d.,n.d.,n.d.,"4,110",n.d.,41253007,32
436,Wabtec de México,Automotriz y autopartes,Estados Unidos,"5,040.80",n.d.,n.d.,623.20,n.d.,n.d.,n.d.,ndndndndndndnd,-36
437,Seguros Argos,Seguros y fianzas,México,"5,011.20",120.70,(310.10),"8,371.90","7,741.90",n.d.,19.2,ndndndndndndnd,11
438,Mexicana de Industrias y Marcas,Alimentos y bebidas,México,"4,990.00",202.00,489.00,"2,824.00","1,901.00","1,000",21.9,72298004,6
439,GMD (Grupo Mexicano de Desarrollo),Holding,México,"4,917.50",993.30,"1,252.30","12,515.90","3,670.80","2,007",11.2,ndndnd1300nd,-15
440,Grupo Financiero Barclays México,Servicios financieros,Reino Unido,"4,883.00",936.00,"1,322.00","98,029.00","89,497.00",,11111.0,ndndndndndndnd,23
441,PAM Transport México,Logística y transporte,Estados Unidos,"4,864.50",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-22
442,Klar,Servicios financieros,México,"4,832.00",(576.00),"(1,200.00)","12,235.00","10,266.00","2,254",(29.3),125428337.534,n.d.
443,Hospitales MAC,Servicios de salud,México,"4,813.00",(507.00),201.00,"13,320.00","8,957.00","4,542",(11.6),4009111.16,40
444,CCL Industries México,Vidrio y envases,Canadá,"4,775.40",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-4
445,GSK,Química farmacéutica,Reino Unido,"4,741.00",n.d.,n.d.,n.d.,n.d.,450,n.d.,178473133.359.,12
446,Corp. Interamericana de,Entretenimiento,México,"4,708.60","1,441.70","1,810.30","14,160.30","7,348.90",,90321.2,ndndnd800nd,-18
447,Capstone México Mining,Minería,Canadá,"4,668.70",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,25
448,Smart Fit,Centros recreativos y de esparcimiento,Brasil,"4,642.00",208.00,985.00,"12,199.00","9,272.00","1,365",7.1,711428621.448.9,30
449,Corporación Inmobiliaria Vesta,Inmobiliario,México,"4,625.20","4,093.90","3,532.40","72,549.20","24,941.00",,1328.6,ndndnd20420nd,22
450,Fibra Macquarie México,Servicios inmobiliarios,México,"4,568.60","12,165.30","3,296.80","68,225.20","21,917.40",,8926.3,ndndnd8112.5nd,6
451,Grupo Royal Holiday,Hotelería y turismo,México,"4,556.00",500.00,519.00,"17,145.00","8,905.00","3,890",6.1,7343536044,-19
452,Assa Abloy México,Materiales y herramientas,Suecia,"4,532.60",n.d.,n.d.,n.d.,n.d.,"4,423",n.d.,ndndndndndndnd,0
453,Macropay,Comercio especializado,México,"4,500.00",n.d.,n.d.,n.d.,n.d.,"3,000",n.d.,ndndndndndndnd,n.d.
454,Epiroc México,Maquinaria y equipo,Suecia,"4,492.80",n.d.,n.d.,"1,506.80",n.d.,n.d.,n.d.,ndndndndndndnd,-3
455,Corpovael Inmobiliaria,Inmobiliario,México,"4,487.40",232.50,427.70,"11,870.50","6,386.50","2,502",4.2,ndnd010110nd,-16
456,FM Global de México,Seguros y fianzas,Estados Unidos,"4,465.00",190.40,34.10,"9,674.90","8,767.70",n.d.,21.0,ndndndndndndnd,13
457,ManpowerGroup,Recursos humanos,Estados Unidos,"4,449.00",n.d.,n.d.,n.d.,n.d.,"44,299",n.d.,1375413753.863,-8
458,Médica Sur,Servicios de salud,México,"4,403.00",462.00,568.00,"4,411.00","2,067.00","2,297",19.7,60019526.360,-5
459,Hydro Aluminium México,Siderurgia y metalurgia,Noruega,"4,392.80",n.d.,n.d.,326.40,n.d.,493,n.d.,ndndndndndndnd,-32
460,Birmex,Servicios de salud,México,"4,360.00",n.d.,n.d.,n.d.,n.d.,600,n.d.,ndndndndndndnd,2
461,Negociación Industrial Carvid,Construcción,México,"4,324.00",296.00,393.00,"1,224.00",306.00,,47632.3,1542782253,56
462,Stabilus México,Automotriz y autopartes,Luxemburgo,"4,309.70",n.d.,n.d.,851.90,136.20,n.d.,n.d.,ndndndndndndnd,-29
463,Fibra Terrafina,Servicios inmobiliarios,México,"4,199.50","3,844.80","1,808.50","70,387.90","23,669.10",n.d.,8.2,ndndnd500nd,5
464,Acciona México,Infraestructura,España,"4,177.80",n.d.,n.d.,n.d.,n.d.,"3,358",n.d.,ndndndndndndnd,-33
465,Grupo Bolsa Mexicana de Valores,Servicios financieros,México,"4,165.00","1,808.50","2,162.60","9,007.00","1,236.10",,50323.3,1532018422.24,40
466,GrupoWitt,Automotriz y autopartes,México,"4,117.00",45.00,257.00,"2,024.00","1,331.00",,7366.5,83382003,50
467,Fibra Educa,Servicios inmobiliarios,México,"4,062.60","3,607.80","4,228.20","40,976.40","8,230.20",,4611.0,ndndnd1400nd,-12
468,Start Banregio,Servicios financieros,México,"4,043.00",984.00,"1,414.00","29,359.00","24,366.00",n.d.,19.7,ndndndndndndnd,n.d.
469,Howmet Aerospace México,Aeroespacial,Estados Unidos,"4,032.60",n.d.,n.d.,"1,246.40",n.d.,n.d.,n.d.,ndndndndndndnd,-33
470,Leggett & Platt de México,Tecnología diversificada,Estados Unidos,"4,029.60",n.d.,n.d.,212.60,n.d.,n.d.,n.d.,ndndndndndndnd,-16
471,Norte 19 Promotora de Hoteles,Hotelería y turismo,México,"4,002.00",72.00,539.00,"13,401.00","5,154.00","4,050",0.9,611711218.263.,39
472,Grupo Gayosso,Servicios profesionales,México,"4,000.00",n.d.,n.d.,n.d.,n.d.,"8,700",n.d.,ndndndndndndnd,10
473,Endeavour Silver México,Minería,Canadá,"3,989.30",(577.00),771.30,n.d.,n.d.,"1,060",n.d.,ndndndndndndnd,1
474,Eli Lilly y Compañía de México,Química farmacéutica,Estados Unidos,"3,946.00",213.00,338.00,"3,590.00",923.00,,5358.7,103309333.360,-15
475,Roadis Concesiones Mexico,Infraestructura,España,"3,934.00",933.00,"2,629.00","31,236.00","21,672.00",,3589.8,6350nanana51,10
476,vivo Smartphone,Electrónica de consumo,China,"3,932.00",n.d.,n.d.,n.d.,n.d.,221,n.d.,11546524042,n.d.
477,Arauco México,Materiales y herramientas,Chile,"3,891.40",n.d.,n.d.,n.d.,n.d.,756,n.d.,ndndndndndndnd,-4
478,Aseguradora Patrimonial Vida,Seguros y fianzas,México,"3,873.00",74.00,(119.00),"3,411.00","3,262.00",,5649.7,31337114.352,n.d.
479,Aseguradora Aserta,Seguros y fianzas,México,"3,812.50",251.40,161.50,"7,258.70","6,046.20",n.d.,20.7,ndndndndndndnd,-2
480,Valores Mexicanos Casa de Bolsa,Servicios financieros,México,"3,801.00",46.00,58.00,"27,682.00","26,837.00",,2115.4,ndndndndndndnd,-4
481,Adelnor Grupo Empresarial,Agroindustria,México,"3,776.30",n.d.,n.d.,n.d.,n.d.,650,n.d.,ndndndndndndnd,-17
482,Philips,Tecnología diversificada,Países Bajos,"3,757.70",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,11
483,MUFG Bank México,Servicios financieros,Japón,"3,697.80","1,145.00","1,481.00","48,218.00","39,229.00",,18612.7,300ndndnd37.1,-8
484,Seguros Azteca,Seguros y fianzas,México,"3,660.70",997.70,794.00,"6,956.10","3,874.50",n.d.,32.4,ndndndndndndnd,-43
485,Vedanta México,Minería,India,"3,631.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd-1,57
486,Aranzazu - Aura Minerals,Minería,Estados Unidos,"3,607.10",523.10,"1,195.80","6,349.50",n.d.,n.d.,n.d.,ndndndndndndnd,5
487,Coliman Bananas - Grupo AGGALL,Agroindustria,México,"3,600.00",n.d.,n.d.,n.d.,n.d.,"3,000",n.d.,61178337.545,-4
488,Neoris,Computación y servicios,México,"3,595.00",n.d.,n.d.,n.d.,n.d.,"2,432",n.d.,2121080025.7,-2
489,Corporación Mexicana de,Restaurantes,México,"3,589.50",n.d.,n.d.,n.d.,n.d.,"4,004",n.d.,ndnd021419nd,-8
490,Grupo Adecco México,Servicios profesionales,Suiza,"3,563.20",n.d.,n.d.,"1,127.60",898.40,"50,546",n.d.,922240043,-44
491,INVEX Casa de Bolsa,Servicios financieros,México,"3,431.00",200.00,288.00,"13,646.00","12,497.00",,3117.4,ndndndndndndnd-1,5
492,Carso Energy,Electricidad y energía,México,"3,355.00","1,167.00","2,540.00","48,771.90","24,883.60",n.d.,n.d.,ndndndndndndnd,-8
493,Grupo Multisistemas de Seguridad Industrial,Servicios de seguridad,México,"3,328.70",218.70,233.30,"3,485.50",707.60,"13,887",7.9,500933.32,1
494,Grupo Hema,Holding,México,"3,253.00",n.d.,n.d.,n.d.,n.d.,"1,400",n.d.,41259222.225,-6
495,El Cid Resorts,Hotelería y turismo,México,"3,214.00",311.10,222.70,"10,652.00","4,409.70","3,953",5.0,ndndnd20210nd,-8
496,Grupo Hi-Tec,Maquinaria y equipo,México,"3,177.00",88.00,349.00,"3,279.00","2,805.00",,41541.2,93336116.723,-1
497,Masari Casa de Bolsa,Servicios financieros,México,"3,113.00",203.00,294.00,"24,236.00","23,585.00",,31531.2,ndndndndndndnd,n.d.
498,Enel,Electricidad y energía,Italia,"3,090.00","(1,891.00)","1,324.00","22,285.00","10,067.00",270,(15.5),72291564031,-2
499,Argonaut Gold de México,Minería,Canadá,"3,012.80",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-9
500,Grupo CICE,Transporte y logística,México,"3,007.00",n.d.,n.d.,n.d.,n.d.,"2,800",n.d.,ndndndndndndnd,n.d.
